vehicle_number,vehicle_type,offense_count,primary_violation,police_stations,first_offense,last_offense,fine_tier,illustrative_fine,is_watchlist_30d
FKN00GL48686,MOTOR CYCLE,9,WRONG PARKING,Electronic City,2024-02-19,2024-02-24,MAXIMUM,3000,1
FKN00GL10539,GOODS AUTO,9,WRONG PARKING,HSR Layout,2024-01-27,2024-04-05,MAXIMUM,3000,1
FKN00GL5281,LGV,9,WRONG PARKING,City Market,2023-12-10,2024-03-29,MAXIMUM,3000,1
FKN00GL31034,SCOOTER,9,NO PARKING,Shivajinagar,2023-11-13,2024-04-07,MAXIMUM,3000,1
FKN00GL30947,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2023-11-29,2024-03-12,MAXIMUM,3000,1
FKN00GL30739,PASSENGER AUTO,9,WRONG PARKING,"Shivajinagar, K.R. Pura",2023-11-12,2024-04-08,MAXIMUM,3000,1
FKN00GL24941,PASSENGER AUTO,9,WRONG PARKING,Shivajinagar,2024-03-20,2024-04-06,MAXIMUM,3000,1
FKN00GL24954,SCOOTER,9,NO PARKING,Upparpet,2024-02-07,2024-02-13,MAXIMUM,3000,1
FKN00GL25431,PASSENGER AUTO,9,NO PARKING,"Shivajinagar, Chamarajpet",2024-01-05,2024-04-08,MAXIMUM,3000,1
FKN00GL10016,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2023-11-15,2024-03-02,MAXIMUM,3000,1
FKN00GL118484,SCOOTER,9,NO PARKING,Shivajinagar,2023-11-14,2023-12-19,MAXIMUM,3000,1
FKN00GL71582,MOTOR CYCLE,9,WRONG PARKING,Shivajinagar,2023-11-21,2024-03-23,MAXIMUM,3000,1
FKN00GL7147,SCOOTER,9,NO PARKING,Jalahalli,2024-01-03,2024-02-07,MAXIMUM,3000,1
FKN00GL54258,SCOOTER,9,NO PARKING,HAL Old Airport,2023-12-29,2024-02-22,MAXIMUM,3000,1
FKN00GL54029,SCOOTER,9,WRONG PARKING,Rajajinagar,2023-12-04,2023-12-04,MAXIMUM,3000,1
FKN00GL14805,SCOOTER,9,NO PARKING,HAL Old Airport,2023-11-15,2024-04-05,MAXIMUM,3000,1
FKN00GL16943,SCOOTER,9,NO PARKING,Magadi Road,2024-01-08,2024-01-22,MAXIMUM,3000,1
FKN00GL105315,SCOOTER,9,WRONG PARKING,Kodigehalli,2023-12-31,2024-01-22,MAXIMUM,3000,1
FKN00GL53950,CAR,9,NO PARKING,"Rajajinagar, Malleshwaram",2024-03-02,2024-04-07,MAXIMUM,3000,1
FKN00GL8739,CAR,9,NO PARKING,Malleshwaram,2024-01-09,2024-02-04,MAXIMUM,3000,1
FKN00GL24748,PASSENGER AUTO,9,NO PARKING,"Shivajinagar, Pulikeshinagar(F.Town), R.T. Nagar",2023-11-12,2024-04-01,MAXIMUM,3000,1
FKN00GL24278,CAR,9,NO PARKING,Malleshwaram,2024-03-29,2024-03-31,MAXIMUM,3000,1
FKN00GL10027,SCOOTER,9,NO PARKING,HAL Old Airport,2024-01-01,2024-02-06,MAXIMUM,3000,1
FKN00GL9597,CAR,9,WRONG PARKING,"Hulimavu, Electronic City",2023-11-30,2024-03-07,MAXIMUM,3000,1
FKN00GL69929,SCOOTER,9,NO PARKING,Upparpet,2023-11-25,2024-03-08,MAXIMUM,3000,1
FKN00GL101897,SCOOTER,9,NO PARKING,Ashok Nagar,2023-11-13,2024-01-24,MAXIMUM,3000,1
FKN00GL32393,CAR,9,WRONG PARKING,Malleshwaram,2023-11-15,2024-02-23,MAXIMUM,3000,1
FKN00GL2422,PASSENGER AUTO,9,NO PARKING,Shivajinagar,2023-11-17,2024-03-26,MAXIMUM,3000,1
FKN00GL95710,SCOOTER,9,WRONG PARKING,Vijayanagara,2023-11-17,2024-01-03,MAXIMUM,3000,1
FKN00GL1014,LGV,9,NO PARKING,Chamarajpet,2023-11-18,2024-03-16,MAXIMUM,3000,1
FKN00GL68641,SCOOTER,9,WRONG PARKING,Jeevanbheemanagar,2023-11-11,2024-03-23,MAXIMUM,3000,1
FKN00GL68083,MOTOR CYCLE,9,WRONG PARKING,Shivajinagar,2023-12-13,2024-03-01,MAXIMUM,3000,1
FKN00GL68100,SCOOTER,9,NO PARKING,Shivajinagar,2023-11-17,2024-03-23,MAXIMUM,3000,1
FKN00GL54470,PASSENGER AUTO,9,PARKING IN A MAIN ROAD,HAL Old Airport,2024-02-22,2024-02-22,MAXIMUM,3000,1
FKN00GL54473,PASSENGER AUTO,9,PARKING IN A MAIN ROAD,HAL Old Airport,2024-02-22,2024-02-22,MAXIMUM,3000,1
FKN00GL54476,PASSENGER AUTO,9,PARKING IN A MAIN ROAD,HAL Old Airport,2024-02-22,2024-02-22,MAXIMUM,3000,1
FKN00GL54482,CAR,9,PARKING IN A MAIN ROAD,HAL Old Airport,2024-02-22,2024-02-22,MAXIMUM,3000,1
FKN00GL54486,CAR,9,PARKING IN A MAIN ROAD,HAL Old Airport,2024-02-22,2024-02-22,MAXIMUM,3000,1
FKN00GL45904,SCOOTER,9,WRONG PARKING,"Rajajinagar, Malleshwaram",2023-11-20,2024-04-03,MAXIMUM,3000,1
FKN00GL4527,SCOOTER,9,NO PARKING,HAL Old Airport,2024-02-22,2024-03-28,MAXIMUM,3000,1
FKN00GL8850,SCOOTER,9,NO PARKING,Shivajinagar,2024-01-12,2024-03-29,MAXIMUM,3000,1
FKN00GL23982,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2023-12-21,2024-04-07,MAXIMUM,3000,1
FKN00GL101844,MOTOR CYCLE,9,NO PARKING,"Shivajinagar, Cubbon Park",2023-11-14,2023-12-12,MAXIMUM,3000,1
FKN00GL2335,SCOOTER,9,WRONG PARKING,"Shivajinagar, Chamarajpet",2023-11-17,2024-04-01,MAXIMUM,3000,1
FKN00GL32693,SCOOTER,9,WRONG PARKING,Shivajinagar,2023-11-11,2024-03-17,MAXIMUM,3000,1
FKN00GL122701,CAR,9,WRONG PARKING,"Rajajinagar, Malleshwaram",2023-11-11,2023-11-27,MAXIMUM,3000,1
FKN00GL12329,CAR,9,WRONG PARKING,Vijayanagara,2023-12-09,2024-03-21,MAXIMUM,3000,1
FKN00GL83261,CAR,9,WRONG PARKING,Banaswadi,2024-03-08,2024-03-08,MAXIMUM,3000,1
FKN00GL8873,SCOOTER,9,WRONG PARKING,Rajajinagar,2023-11-22,2024-03-29,MAXIMUM,3000,1
FKN00GL17351,SCOOTER,9,WRONG PARKING,Rajajinagar,2024-01-05,2024-03-25,MAXIMUM,3000,1
FKN00GL44955,CAR,9,NO PARKING,"Bellandur, Chikkajala, Wilson Garden",2023-11-15,2024-03-07,MAXIMUM,3000,1
FKN00GL5477,PASSENGER AUTO,9,NO PARKING,Upparpet,2023-11-11,2024-03-15,MAXIMUM,3000,1
FKN00GL1455,SCOOTER,9,NO PARKING,Sheshadripuram,2023-11-29,2024-03-15,MAXIMUM,3000,1
FKN00GL84194,SCOOTER,9,NO PARKING,Shivajinagar,2024-03-09,2024-03-09,MAXIMUM,3000,1
FKN00GL8392,MOTOR CYCLE,9,WRONG PARKING,"Malleshwaram, Rajajinagar",2023-11-09,2024-03-29,MAXIMUM,3000,1
FKN00GL23130,MOTOR CYCLE,9,NO PARKING,Banashankari,2023-11-27,2024-02-22,MAXIMUM,3000,1
FKN00GL102126,SCOOTER,9,WRONG PARKING,Kodigehalli,2023-11-11,2024-01-01,MAXIMUM,3000,1
FKN00GL23237,PASSENGER AUTO,9,NO PARKING,Shivajinagar,2023-11-12,2024-04-04,MAXIMUM,3000,1
FKN00GL22673,SCOOTER,9,NO PARKING,City Market,2023-11-15,2024-04-03,MAXIMUM,3000,1
FKN00GL22703,PASSENGER AUTO,9,WRONG PARKING,"City Market, Chamarajpet",2023-12-21,2024-03-23,MAXIMUM,3000,1
FKN00GL3318,SCOOTER,9,NO PARKING,Upparpet,2024-01-20,2024-03-25,MAXIMUM,3000,1
FKN00GL123430,SCOOTER,9,NO PARKING,Shivajinagar,2023-11-12,2023-11-27,MAXIMUM,3000,1
FKN00GL17393,SCOOTER,9,WRONG PARKING,High ground,2023-11-15,2024-01-20,MAXIMUM,3000,1
FKN00GL17422,SCOOTER,9,NO PARKING,Mico Layout,2023-11-28,2024-01-16,MAXIMUM,3000,1
FKN00GL17371,SCOOTER,9,NO PARKING,HAL Old Airport,2023-12-21,2024-01-24,MAXIMUM,3000,1
FKN00GL143827,PASSENGER AUTO,9,WRONG PARKING,Shivajinagar,2023-11-24,2024-01-31,MAXIMUM,3000,1
FKN00GL14433,MOTOR CYCLE,9,NO PARKING,Malleshwaram,2023-12-09,2024-01-24,MAXIMUM,3000,1
FKN00GL55172,MOTOR CYCLE,9,WRONG PARKING,Electronic City,2024-02-23,2024-02-23,MAXIMUM,3000,1
FKN00GL111010,SCOOTER,9,NO PARKING,Basavanagudi,2023-11-16,2023-12-24,MAXIMUM,3000,1
FKN00GL9338,SCOOTER,9,WRONG PARKING,Shivajinagar,2023-11-11,2024-02-01,MAXIMUM,3000,1
FKN00GL22299,MOTOR CYCLE,9,NO PARKING,Hennuru,2024-02-06,2024-02-06,MAXIMUM,3000,1
FKN00GL22526,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2024-02-03,2024-02-23,MAXIMUM,3000,1
FKN00GL66352,SCOOTER,9,WRONG PARKING,Shivajinagar,2023-11-17,2024-03-23,MAXIMUM,3000,1
FKN00GL125181,SCOOTER,9,WRONG PARKING,High ground,2023-11-24,2023-12-30,MAXIMUM,3000,1
FKN00GL14127,PASSENGER AUTO,9,NO PARKING,"Shivajinagar, Pulikeshinagar(F.Town)",2023-12-05,2024-01-24,MAXIMUM,3000,1
FKN00GL4243,CAR,9,NO PARKING,Shivajinagar,2023-11-18,2024-03-10,MAXIMUM,3000,1
FKN00GL89229,CAR,9,WRONG PARKING,Upparpet,2023-11-16,2024-03-22,MAXIMUM,3000,1
FKN00GL8937,CAR,9,NO PARKING,"Rajajinagar, Malleshwaram",2023-12-02,2024-04-07,MAXIMUM,3000,1
FKN00GL41989,SCOOTER,9,NO PARKING,Upparpet,2023-11-18,2024-04-07,MAXIMUM,3000,1
FKN00GL82315,MOTOR CYCLE,9,WRONG PARKING,Upparpet,2023-11-27,2024-03-14,MAXIMUM,3000,1
FKN00GL5638,MOTOR CYCLE,9,WRONG PARKING,Vijayanagara,2023-12-18,2024-03-28,MAXIMUM,3000,1
FKN00GL56456,PASSENGER AUTO,9,NO PARKING,"Shivajinagar, Malleshwaram",2023-11-26,2024-03-16,MAXIMUM,3000,1
FKN00GL55913,SCOOTER,9,WRONG PARKING,Malleshwaram,2023-11-22,2024-03-19,MAXIMUM,3000,1
FKN00GL14237,MOTOR CYCLE,9,WRONG PARKING,HAL Old Airport,2024-01-05,2024-03-06,MAXIMUM,3000,1
FKN00GL55868,CAR,9,NO PARKING,HAL Old Airport,2024-02-23,2024-02-23,MAXIMUM,3000,1
FKN00GL7970,FACTORY BUS,9,WRONG PARKING,"Hulimavu, HSR Layout",2023-11-15,2024-03-28,MAXIMUM,3000,1
FKN00GL79363,CAR,9,NO PARKING,Yeshwanthpura,2024-03-06,2024-03-06,MAXIMUM,3000,1
FKN00GL34351,PASSENGER AUTO,9,WRONG PARKING,Shivajinagar,2023-11-11,2024-03-26,MAXIMUM,3000,1
FKN00GL21803,PASSENGER AUTO,9,WRONG PARKING,"Shivajinagar, Byatarayanapura",2023-11-11,2024-02-06,MAXIMUM,3000,1
FKN00GL33881,CAR,9,NO PARKING,Ashok Nagar,2024-01-02,2024-04-01,MAXIMUM,3000,1
FKN00GL94178,SCOOTER,9,WRONG PARKING,City Market,2023-12-17,2024-03-23,MAXIMUM,3000,1
FKN00GL9376,PASSENGER AUTO,9,NO PARKING,HAL Old Airport,2024-01-24,2024-03-26,MAXIMUM,3000,1
FKN00GL18073,LGV,9,NO PARKING,Upparpet,2023-11-12,2024-01-11,MAXIMUM,3000,1
FKN00GL18093,MOTOR CYCLE,9,NO PARKING,Shivajinagar,2024-01-11,2024-03-05,MAXIMUM,3000,1
FKN00GL18113,SCOOTER,9,NO PARKING,HAL Old Airport,2023-11-15,2024-03-18,MAXIMUM,3000,1
FKN00GL17892,SCOOTER,9,WRONG PARKING,HAL Old Airport,2023-11-21,2024-03-06,MAXIMUM,3000,1
FKN00GL41961,SCOOTER,9,NO PARKING,Basavanagudi,2023-12-02,2024-03-23,MAXIMUM,3000,1
FKN00GL56719,MOTOR CYCLE,9,WRONG PARKING,Electronic City,2024-02-23,2024-02-23,MAXIMUM,3000,1
FKN00GL14117,PASSENGER AUTO,9,NO PARKING,Shivajinagar,2024-01-05,2024-03-30,MAXIMUM,3000,1
FKN00GL6558,MOTOR CYCLE,9,NO PARKING,Mico Layout,2023-11-21,2024-02-02,MAXIMUM,3000,1
FKN00GL9337,MOTOR CYCLE,9,NO PARKING,Shivajinagar,2023-11-15,2024-02-01,MAXIMUM,3000,1
FKN00GL21620,PASSENGER AUTO,9,WRONG PARKING,Malleshwaram,2024-02-06,2024-04-03,MAXIMUM,3000,1
FKN00GL3431,PASSENGER AUTO,9,NO PARKING,"Banaswadi, Mahadevapura",2023-12-24,2024-03-28,MAXIMUM,3000,1
FKN00GL127897,SCOOTER,9,WRONG PARKING,High ground,2023-11-14,2024-01-02,MAXIMUM,3000,1
FKN00GL6425,CAR,9,NO PARKING,Wilson Garden,2023-11-19,2024-03-29,MAXIMUM,3000,1
FKN00GL64048,SCOOTER,9,WRONG PARKING,Kodigehalli,2024-03-12,2024-03-27,MAXIMUM,3000,1
FKN00GL20702,SCOOTER,9,PARKING IN A MAIN ROAD,HAL Old Airport,2024-01-01,2024-04-06,MAXIMUM,3000,1
FKN00GL35707,SCOOTER,9,WRONG PARKING,"Kodigehalli, Malleshwaram",2023-11-22,2024-03-17,MAXIMUM,3000,1
FKN00GL35785,SCOOTER,9,WRONG PARKING,Kodigehalli,2023-11-13,2024-04-05,MAXIMUM,3000,1
FKN00GL35786,SCOOTER,9,WRONG PARKING,Kodigehalli,2023-12-13,2024-04-06,MAXIMUM,3000,1
FKN00GL20849,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2024-01-11,2024-02-23,MAXIMUM,3000,1
FKN00GL35618,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2023-11-28,2024-03-21,MAXIMUM,3000,1
FKN00GL64064,SCOOTER,9,WRONG PARKING,Malleshwaram,2023-11-28,2024-04-05,MAXIMUM,3000,1
FKN00GL9197,MOTOR CYCLE,9,NO PARKING,Shivajinagar,2023-11-13,2024-03-14,MAXIMUM,3000,1
FKN00GL36157,SCOOTER,9,NO PARKING,Vijayanagara,2023-12-01,2024-03-12,MAXIMUM,3000,1
FKN00GL40435,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2024-01-05,2024-04-05,MAXIMUM,3000,1
FKN00GL5706,SCOOTER,9,WRONG PARKING,Vijayanagara,2023-12-28,2024-02-02,MAXIMUM,3000,1
FKN00GL8209,SCOOTER,9,NO PARKING,Upparpet,2023-11-18,2024-02-03,MAXIMUM,3000,1
FKN00GL17937,SCOOTER,9,NO PARKING,Upparpet,2023-12-05,2024-04-03,MAXIMUM,3000,1
FKN00GL20676,SCOOTER,9,NO PARKING,HAL Old Airport,2024-01-01,2024-02-05,MAXIMUM,3000,1
FKN00GL20678,SCOOTER,9,NO PARKING,HAL Old Airport,2023-11-21,2024-02-24,MAXIMUM,3000,1
FKN00GL3598,SCOOTER,9,NO PARKING,HAL Old Airport,2024-01-01,2024-03-15,MAXIMUM,3000,1
FKN00GL3684,SCOOTER,9,NO PARKING,HAL Old Airport,2023-11-15,2024-02-23,MAXIMUM,3000,1
FKN00GL20299,LGV,9,WRONG PARKING,Chamarajpet,2024-01-13,2024-03-29,MAXIMUM,3000,1
FKN00GL20384,CAR,9,WRONG PARKING,"Banaswadi, Chikkajala",2024-01-22,2024-02-05,MAXIMUM,3000,1
FKN00GL36657,SCOOTER,9,WRONG PARKING,Rajajinagar,2023-11-20,2024-03-08,MAXIMUM,3000,1
FKN00GL36411,PRIVATE BUS,9,WRONG PARKING,"Hulimavu, Electronic City",2024-02-14,2024-03-31,MAXIMUM,3000,1
FKN00GL57811,VAN,9,NO PARKING,Wilson Garden,2024-01-03,2024-03-27,MAXIMUM,3000,1
FKN00GL57721,MOTOR CYCLE,9,WRONG PARKING,Vijayanagara,2023-11-29,2024-03-04,MAXIMUM,3000,1
FKN00GL18466,PASSENGER AUTO,9,WRONG PARKING,City Market,2023-12-10,2024-03-06,MAXIMUM,3000,1
FKN00GL40466,SCOOTER,9,NO PARKING,HAL Old Airport,2023-12-22,2024-03-06,MAXIMUM,3000,1
FKN00GL57654,SCOOTER,9,NO PARKING,"Shivajinagar, Cubbon Park",2023-11-17,2024-03-14,MAXIMUM,3000,1
FKN00GL5750,SCOOTER,9,WRONG PARKING,Vijayanagara,2023-11-29,2024-03-12,MAXIMUM,3000,1
FKN00GL36808,SCOOTER,9,WRONG PARKING,Rajajinagar,2023-12-06,2024-02-28,MAXIMUM,3000,1
FKN00GL91867,SCOOTER,9,WRONG PARKING,Shivajinagar,2023-11-11,2024-03-17,MAXIMUM,3000,1
FKN00GL61715,SCOOTER,9,NO PARKING,Upparpet,2023-11-21,2024-04-06,MAXIMUM,3000,1
FKN00GL109364,SCOOTER,9,NO PARKING,Vijayanagara,2023-11-17,2024-01-10,MAXIMUM,3000,1
FKN00GL13235,SCOOTER,9,WRONG PARKING,Shivajinagar,2023-12-13,2024-03-27,MAXIMUM,3000,1
FKN00GL19759,SCOOTER,9,WRONG PARKING,Shivajinagar,2023-11-23,2024-03-31,MAXIMUM,3000,1
FKN00GL18725,CAR,9,NO PARKING,Upparpet,2023-11-15,2024-04-03,MAXIMUM,3000,1
FKN00GL1887,SCOOTER,9,NO PARKING,"Cubbon Park, Ashok Nagar",2023-11-20,2024-02-20,MAXIMUM,3000,1
FKN00GL39267,SCOOTER,9,NO PARKING,"City Market, Upparpet",2023-11-11,2024-03-30,MAXIMUM,3000,1
FKN00GL90621,SCOOTER,9,NO PARKING,"Upparpet, City Market",2023-11-12,2024-02-29,MAXIMUM,3000,1
FKN00GL9074,PASSENGER AUTO,9,WRONG PARKING,"Shivajinagar, Pulikeshinagar(F.Town)",2023-11-11,2024-02-01,MAXIMUM,3000,1
FKN00GL5846,SCOOTER,9,WRONG PARKING,Malleshwaram,2023-12-02,2024-04-01,MAXIMUM,3000,1
FKN00GL58480,CAR,9,NO PARKING,Jeevanbheemanagar,2023-12-15,2024-03-23,MAXIMUM,3000,1
FKN00GL5802,CAR,9,WRONG PARKING,Malleshwaram,2024-02-02,2024-02-23,MAXIMUM,3000,1
FKN00GL19672,SCOOTER,9,NO PARKING,"HAL Old Airport, City Market",2023-11-15,2024-03-12,MAXIMUM,3000,1
FKN00GL37662,SCOOTER,9,NO PARKING,Hebbala,2024-02-14,2024-02-14,MAXIMUM,3000,1
FKN00GL37435,SCOOTER,9,NO PARKING,Adugodi,2023-11-16,2024-03-14,MAXIMUM,3000,1
FKN00GL3880,CAR,9,NO PARKING,K.G. Halli,2023-12-20,2024-01-31,MAXIMUM,3000,1
FKN00GL38852,CAR,9,NO PARKING,Upparpet,2024-01-13,2024-04-06,MAXIMUM,3000,1
FKN00GL61161,SCOOTER,9,WRONG PARKING,City Market,2024-02-25,2024-03-11,MAXIMUM,3000,1
FKN00GL13270,SCOOTER,9,NO PARKING,Banashankari,2023-11-17,2024-02-08,MAXIMUM,3000,1
FKN00GL60648,CAR,9,NO PARKING,"Kodigehalli, Sadashivanagar",2023-11-17,2024-02-24,MAXIMUM,3000,1
FKN00GL13361,SCOOTER,9,WRONG PARKING,HAL Old Airport,2023-12-09,2024-03-22,MAXIMUM,3000,1
FKN00GL39039,SCOOTER,9,NO PARKING,HAL Old Airport,2023-12-13,2024-03-01,MAXIMUM,3000,1
FKN00GL19009,SCOOTER,9,NO PARKING,Vijayanagara,2023-11-17,2024-01-10,MAXIMUM,3000,1
FKN00GL39077,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2023-12-01,2024-02-28,MAXIMUM,3000,1
FKN00GL3909,CAR,9,NO PARKING,K.G. Halli,2023-12-08,2024-02-26,MAXIMUM,3000,1
FKN00GL38938,SCOOTER,9,WRONG PARKING,"Upparpet, City Market",2023-11-21,2024-04-02,MAXIMUM,3000,1
FKN00GL10381,LORRY/GOODS VEHICLE,9,WRONG PARKING,Hulimavu,2024-01-08,2024-03-20,MAXIMUM,3000,1
FKN00GL90902,MOTOR CYCLE,9,NO PARKING,HAL Old Airport,2023-11-15,2024-01-16,MAXIMUM,3000,1
FKN00GL58637,CAR,9,NO PARKING,Upparpet,2024-02-27,2024-03-26,MAXIMUM,3000,1
FKN00GL2804,SCOOTER,9,WRONG PARKING,HAL Old Airport,2023-11-17,2024-03-22,MAXIMUM,3000,1
FKN00GL2698,SCOOTER,9,WRONG PARKING,Vijayanagara,2023-11-23,2024-03-28,MAXIMUM,3000,1
FKN00GL2948,LORRY/GOODS VEHICLE,9,WRONG PARKING,"Electronic City, Hulimavu",2024-02-16,2024-03-18,MAXIMUM,3000,1
FKN00GL2734,SCOOTER,9,NO PARKING,HAL Old Airport,2023-12-21,2024-03-28,MAXIMUM,3000,1
FKN00GL27485,GOODS AUTO,9,WRONG PARKING,"Rajajinagar, Upparpet",2023-11-10,2024-03-18,MAXIMUM,3000,1
FKN00GL98967,PASSENGER AUTO,9,WRONG PARKING,Upparpet,2023-11-29,2024-03-21,MAXIMUM,3000,1
FKN00GL7596,CAR,9,WRONG PARKING,"Hulimavu, Chikkajala, Electronic City",2023-12-20,2024-03-31,MAXIMUM,3000,1
FKN00GL75561,SCOOTER,9,WRONG PARKING,High ground,2023-11-14,2024-01-05,MAXIMUM,3000,1
FKN00GL5083,MOTOR CYCLE,9,PARKING IN A MAIN ROAD,HAL Old Airport,2023-12-15,2024-03-26,MAXIMUM,3000,1
FKN00GL50571,CAR,9,NO PARKING,HAL Old Airport,2024-01-06,2024-02-23,MAXIMUM,3000,1
FKN00GL8631,MOTOR CYCLE,9,WRONG PARKING,"Malleshwaram, Rajajinagar",2023-11-10,2024-03-29,MAXIMUM,3000,1
FKN00GL77018,SCOOTER,9,NO PARKING,Upparpet,2023-11-18,2024-03-22,MAXIMUM,3000,1
FKN00GL2855,SCOOTER,9,NO PARKING,HAL Old Airport,2024-01-10,2024-02-03,MAXIMUM,3000,1
FKN00GL0053,SCOOTER,8,NO PARKING,High ground,2023-11-22,2024-01-29,MAXIMUM,3000,1
FKN00GL113738,SCOOTER,8,WRONG PARKING,Shivajinagar,2023-11-14,2024-01-14,MAXIMUM,3000,1
FKN00GL76646,PASSENGER AUTO,8,WRONG PARKING,K.R. Pura,2023-11-12,2024-03-23,MAXIMUM,3000,1
FKN00GL0520,SCOOTER,8,WRONG PARKING,"HAL Old Airport, City Market",2024-01-05,2024-03-14,MAXIMUM,3000,1
FKN00GL0396,MOPED,8,WRONG PARKING,Rajajinagar,2023-11-26,2024-03-25,MAXIMUM,3000,1
FKN00GL9859,MOTOR CYCLE,8,NO PARKING,HAL Old Airport,2023-11-15,2024-04-06,MAXIMUM,3000,1
FKN00GL11272,SCOOTER,8,WRONG PARKING,City Market,2024-01-18,2024-03-16,MAXIMUM,3000,1
FKN00GL7346,MOTOR CYCLE,8,NO PARKING,HAL Old Airport,2023-11-17,2024-02-03,MAXIMUM,3000,1
FKN00GL5179,CAR,8,NO PARKING,J.P. Nagar,2023-11-21,2024-02-15,MAXIMUM,3000,1
FKN00GL5032,SCOOTER,8,WRONG PARKING,Upparpet,2024-01-14,2024-03-12,MAXIMUM,3000,1
FKN00GL15652,PASSENGER AUTO,8,NO PARKING,Madiwala,2024-01-13,2024-03-12,MAXIMUM,3000,1
FKN00GL10584,PASSENGER AUTO,8,NO PARKING,"Malleshwaram, Magadi Road",2023-11-11,2024-02-21,MAXIMUM,3000,1
FKN00GL1578,SCOOTER,8,NO PARKING,Shivajinagar,2023-11-12,2024-01-24,MAXIMUM,3000,1
FKN00GL15274,CAR,8,WRONG PARKING,Upparpet,2023-12-16,2024-02-23,MAXIMUM,3000,1
FKN00GL51520,PASSENGER AUTO,8,WRONG PARKING,City Market,2023-11-15,2024-03-15,MAXIMUM,3000,1
FKN00GL15379,PASSENGER AUTO,8,WRONG PARKING,Shivajinagar,2023-11-19,2024-02-12,MAXIMUM,3000,1
FKN00GL111918,MOTOR CYCLE,8,NO PARKING,Upparpet,2023-11-12,2024-01-08,MAXIMUM,3000,1
FKN00GL0835,PASSENGER AUTO,8,WRONG PARKING,Shivajinagar,2023-11-19,2024-03-18,MAXIMUM,3000,1
FKN00GL26486,SCOOTER,8,WRONG PARKING,Hulimavu,2024-03-13,2024-03-13,MAXIMUM,3000,1
FKN00GL58048,SCOOTER,8,WRONG PARKING,Shivajinagar,2023-11-11,2024-02-24,MAXIMUM,3000,1
FKN00GL38408,MOTOR CYCLE,8,WRONG PARKING,Halasur,2023-11-15,2024-04-04,MAXIMUM,3000,1
FKN00GL1922,SCOOTER,8,WRONG PARKING,Shivajinagar,2023-11-18,2024-04-02,MAXIMUM,3000,1
FKN00GL1956,SCOOTER,8,WRONG PARKING,Shivajinagar,2023-11-23,2024-03-18,MAXIMUM,3000,1
FKN00GL60969,CAR,8,WRONG PARKING,Upparpet,2023-12-24,2024-02-25,MAXIMUM,3000,1
FKN00GL13288,MOTOR CYCLE,8,NO PARKING,City Market,2023-11-22,2024-02-24,MAXIMUM,3000,1
FKN00GL60898,SCOOTER,8,WRONG PARKING,Shivajinagar,2023-11-15,2024-03-13,MAXIMUM,3000,1
FKN00GL60181,CAR,8,WRONG PARKING,Pulikeshinagar(F.Town),2024-01-29,2024-02-24,MAXIMUM,3000,1
FKN00GL39076,SCOOTER,8,WRONG PARKING,HAL Old Airport,2024-02-14,2024-02-27,MAXIMUM,3000,1
FKN00GL80813,SCOOTER,8,NO PARKING,Vijayanagara,2023-11-29,2024-03-21,MAXIMUM,3000,1
FKN00GL13423,SCOOTER,8,NO PARKING,HAL Old Airport,2024-01-01,2024-02-24,MAXIMUM,3000,1
FKN00GL13486,LGV,8,WRONG PARKING,Upparpet,2023-11-14,2024-04-06,MAXIMUM,3000,1
FKN00GL59639,PASSENGER AUTO,8,WRONG PARKING,K.R. Pura,2023-12-08,2024-03-11,MAXIMUM,3000,1
FKN00GL134975,SCOOTER,8,NO PARKING,"Upparpet, Vijayanagara",2023-11-15,2024-01-06,MAXIMUM,3000,1
FKN00GL8152,SCOOTER,8,NO PARKING,Upparpet,2024-01-06,2024-04-02,MAXIMUM,3000,1
FKN00GL5840,SCOOTER,8,WRONG PARKING,Kodigehalli,2023-11-13,2024-04-05,MAXIMUM,3000,1
FKN00GL129954,SCOOTER,8,NO PARKING,Upparpet,2023-12-07,2024-01-27,MAXIMUM,3000,1
FKN00GL6326,PASSENGER AUTO,8,WRONG PARKING,Shivajinagar,2023-11-11,2024-03-30,MAXIMUM,3000,1
FKN00GL62978,CAR,8,WRONG PARKING,Shivajinagar,2023-12-12,2024-03-02,MAXIMUM,3000,1
FKN00GL36925,SCOOTER,8,NO PARKING,Halasuru Gate,2023-11-27,2024-02-23,MAXIMUM,3000,1
FKN00GL36748,SCOOTER,8,WRONG PARKING,Vijayanagara,2023-12-14,2024-03-13,MAXIMUM,3000,1
FKN00GL91870,MOTOR CYCLE,8,NO PARKING,Shivajinagar,2023-11-12,2024-03-17,MAXIMUM,3000,1
FKN00GL131230,MOTOR CYCLE,8,NO PARKING,Vijayanagara,2023-11-23,2024-03-12,MAXIMUM,3000,1
FKN00GL103618,PASSENGER AUTO,8,NO PARKING,"Upparpet, Chamarajpet",2023-11-10,2023-12-12,MAXIMUM,3000,1
